"","Transcription","Transcription regulation","Transmembrane","DNA-binding","Kinase","metabolism","RNA-binding","signaling","ProteinID"
"1",0,0,0,0,0,1,0,0,"P11217"
"2",0,0,1,0,0,0,0,0,"Q9NR77"
"3",0,0,0,0,0,0,0,0,"Q9Y3T6"
"4",0,0,1,0,0,0,0,0,"P50876"
"5",0,0,0,0,0,0,0,0,"P01116"
"6",0,0,0,0,0,0,0,0,"Q9Y2K5"
"7",0,0,0,0,0,0,0,0,"A8MTL3"
"8",0,0,0,0,0,0,0,0,"P61106"
"9",0,0,0,0,0,0,0,0,"P59190"
"10",0,0,0,0,0,0,0,0,"Q9UL25"
"11",0,0,0,0,0,0,0,0,"P29762"
"12",0,0,0,0,0,0,0,0,"Q9UPQ7"
"13",0,0,0,0,0,0,0,0,"P29373"
"14",0,0,0,0,0,0,0,0,"P15153"
"15",0,0,0,1,0,0,0,0,"O15315"
"16",0,0,0,0,0,0,1,0,"Q96PU8"
"17",0,0,0,0,0,0,0,0,"P51151"
"18",0,0,0,0,0,0,0,0,"Q9H6Z4"
"19",0,0,0,0,0,0,0,0,"Q2KHR3"
"20",0,0,1,0,0,0,0,0,"Q7Z419"
"21",0,0,0,0,0,0,0,0,"Q9H0T7"
"22",0,0,0,0,0,0,0,0,"O60671"
"23",0,0,0,0,0,0,0,0,"Q7Z5L2"
"24",0,0,0,1,0,0,1,0,"Q96B01"
"25",0,0,0,0,0,0,0,0,"P61224"
"26",0,0,0,0,0,0,0,0,"Q15907"
"27",0,0,1,0,0,0,0,0,"O60896"
"28",0,0,0,0,0,0,1,0,"Q86U06"
"29",0,0,1,0,0,0,0,0,"Q9NYR8"
"30",0,0,0,0,0,0,0,0,"O95072"
"31",0,0,0,0,0,0,1,0,"Q9H0Z9"
"32",0,0,0,0,0,0,1,0,"Q6ZSC3"
"33",0,0,0,0,0,0,1,0,"Q9Y5S9"
"34",0,0,0,0,0,0,0,0,"Q9H082"
"35",0,0,0,0,0,0,0,0,"Q5U651"
"36",0,0,0,0,0,0,1,0,"Q9NW64"
"37",0,0,0,0,0,0,0,0,"P25800"
"38",0,0,1,0,0,0,0,0,"Q8TC12"
"39",1,1,0,0,0,0,0,0,"Q9P2K3"
"40",0,0,0,0,0,0,1,0,"Q9BTD8"
"41",0,0,0,0,0,0,0,0,"Q7Z6P3"
"42",0,0,0,0,0,0,0,0,"Q92928"
"43",0,0,0,0,0,0,0,0,"O14966"
"44",0,0,0,0,0,0,0,0,"O75884"
"45",0,0,0,0,0,0,1,0,"P0DJD4"
"46",1,1,0,1,0,0,0,0,"P06400"
"47",0,0,0,0,0,0,0,0,"Q5JT25"
"48",0,0,0,0,0,1,0,0,"P51149"
"49",0,0,0,0,0,0,0,0,"P53805"
"50",0,0,0,0,0,0,0,0,"Q14257"
"51",0,0,0,0,0,0,0,0,"Q96D15"
"52",0,0,0,0,0,0,0,0,"Q8TAI7"
"53",0,0,0,0,0,0,0,0,"B7ZAP0"
"54",0,0,0,0,0,0,0,0,"Q96S21"
"55",0,0,0,0,0,0,0,0,"Q14206"
"56",0,0,0,0,0,0,1,0,"Q96T37"
"57",0,0,0,0,0,0,1,0,"Q6ZP01"
"58",1,1,0,0,0,0,0,0,"Q16576"
"59",0,0,0,0,0,0,1,0,"Q8TBY0"
"60",0,0,0,0,0,0,0,0,"C9J798"
"61",0,0,0,0,0,0,0,0,"Q96NR8"
"62",0,0,0,0,0,0,0,0,"Q8NBN7"
"63",0,0,0,0,0,0,1,0,"Q96EV2"
"64",0,0,0,0,0,0,0,0,"Q5T6V5"
"65",0,0,0,0,0,0,0,0,"B2RC85"
"66",1,1,0,0,0,0,0,0,"Q8TDY2"
"67",0,0,0,0,0,0,1,0,"Q9BWF3"
"68",0,0,0,1,0,0,0,0,"P18754"
"69",0,0,0,0,0,0,1,0,"Q69383"
"70",0,0,0,0,0,0,1,0,"P42696"
"71",0,0,0,0,0,0,1,0,"P0DJD3"
"72",0,0,0,0,0,0,0,0,"P22891"
"73",1,1,0,1,0,0,0,0,"Q00577"
"74",0,0,0,0,0,0,0,0,"Q92626"
"75",0,0,0,0,0,0,0,0,"Q7RTV5"
"76",0,0,0,0,0,0,0,0,"A6NJB7"
"77",0,0,0,0,0,0,0,0,"A0A1B0GVH4"
"78",0,0,0,1,0,0,0,0,"O75360"
"79",0,0,0,0,0,0,0,0,"P0CG20"
"80",0,0,0,0,0,0,0,0,"Q9H6K5"
"81",0,0,1,0,0,0,0,0,"Q7Z6L0"
"82",0,0,0,0,0,0,0,0,"P17980"
"83",0,0,1,0,0,0,0,0,"Q6UWB4"
"84",0,0,0,0,0,0,0,0,"P27918"
"85",0,0,1,0,0,0,0,0,"Q99946"
"86",0,0,1,0,0,0,0,0,"A0A1B0GWB2"
"87",0,0,0,0,0,0,0,0,"Q9UKY0"
"88",0,0,0,0,0,0,0,0,"Q96M27"
"89",0,0,1,0,0,0,0,0,"C9JH25"
"90",0,0,1,0,0,0,0,0,"O43490"
"91",0,0,0,0,0,0,0,0,"P35080"
"92",0,0,0,0,0,0,0,0,"P0CW18"
"93",0,0,0,0,0,0,0,0,"A0A1B0GWK0"
"94",0,0,1,0,0,0,0,0,"Q9Y6I8"
"95",0,0,1,0,0,0,0,0,"Q6UX71"
"96",0,0,0,0,0,0,0,0,"Q5TGL8"
"97",0,0,0,0,0,0,0,0,"P17812"
"98",0,0,0,0,0,0,0,0,"Q2L4Q9"
"99",0,0,0,0,0,0,0,0,"P0C7W0"
"100",0,0,0,0,0,0,0,0,"P81277"
"101",0,0,0,0,0,0,0,0,"P62195"
"102",0,0,0,0,1,0,0,0,"P11908"
"103",0,0,0,0,0,0,0,0,"A4D1T9"
"104",0,0,0,1,0,0,0,0,"P54821"
"105",0,0,0,1,0,0,0,0,"Q9UJV8"
"106",0,0,1,0,0,0,0,0,"O75192"
"107",0,0,0,0,0,0,0,0,"Q8N0Z8"
"108",0,0,0,0,0,0,0,0,"P27708"
"109",0,0,0,0,0,0,0,0,"P0DMW2"
"110",0,0,0,0,0,0,0,0,"W6CW81"
"111",0,0,0,0,0,0,0,0,"Q9NRF8"
"112",0,0,0,0,0,0,0,0,"O95294"
"113",0,0,0,0,0,0,0,0,"P57729"
"114",0,0,0,0,0,0,0,0,"O60216"
"115",0,0,0,0,0,0,1,0,"Q86SE5"
"116",0,0,1,0,0,0,0,0,"Q8TD07"
"117",0,0,0,0,0,0,0,0,"P11234"
"118",0,0,0,0,0,0,0,0,"Q8NC74"
"119",0,0,0,0,0,0,0,0,"P62834"
"120",0,0,0,0,0,0,0,0,"P62826"
"121",0,0,0,0,0,0,0,0,"Q9UDW1"
"122",0,0,0,0,0,0,0,0,"Q6MZT1"
"123",0,0,0,0,0,0,1,0,"Q8IY67"
"124",0,0,0,0,0,0,0,0,"Q15283"
"125",0,0,0,0,0,0,1,0,"Q08257"
"126",0,0,1,0,0,0,0,0,"Q04671"
"127",0,0,1,0,0,0,0,0,"O00391"
"128",0,0,0,0,0,0,0,0,"P11233"
"129",0,0,0,0,0,0,0,0,"P51153"
"130",0,0,0,0,0,0,0,0,"P61006"
"131",0,0,0,0,0,0,0,0,"Q15032"
"132",0,0,0,0,0,0,0,0,"Q6ZMN7"
"133",0,0,0,0,0,0,0,0,"P63000"
"134",0,0,0,0,0,0,0,0,"Q969Q5"
"135",0,0,0,0,0,0,0,0,"P10082"
"136",1,1,0,1,0,0,0,0,"P10826"
"137",0,0,0,0,0,0,0,0,"P61019"
"138",0,0,0,0,0,0,1,0,"Q9HCJ3"
"139",0,0,0,0,0,0,0,0,"Q15771"
"140",0,0,1,0,0,0,0,0,"Q6ZS82"
"141",0,0,0,0,0,0,0,0,"P63244"
"142",0,0,0,0,0,0,0,0,"Q09MP3"
"143",0,0,0,0,0,0,0,0,"Q9UL26"
"144",1,1,0,0,0,0,1,0,"Q9UKM9"
"145",0,0,0,0,0,0,0,0,"P07919"
"146",0,0,0,0,0,0,0,0,"P61020"
"147",0,0,0,0,0,0,0,0,"Q13636"
"148",0,0,0,0,0,0,0,0,"Q7Z444"
"149",0,0,0,0,0,0,0,0,"Q9BUV8"
"150",0,0,0,0,0,0,0,0,"P24386"
"151",0,0,0,0,0,0,0,0,"P55895"
"152",0,0,0,0,0,0,0,0,"Q15276"
"153",0,0,0,0,0,0,0,0,"P78406"
"154",0,0,0,0,0,0,0,0,"Q8IZ41"
"155",0,0,0,0,0,0,0,0,"P51159"
"156",0,0,0,0,0,0,0,0,"Q9BZE2"
"157",0,0,1,0,0,0,0,0,"Q15109"
"158",0,0,0,0,0,0,0,0,"Q53S08"
"159",0,0,0,0,0,0,0,0,"Q9H0U4"
"160",0,0,0,0,0,0,1,0,"Q9Y580"
"161",0,0,0,0,0,0,0,0,"P01112"
"162",0,0,0,0,0,0,1,0,"Q15434"
"163",1,1,0,1,0,0,0,0,"P13631"
"164",0,0,0,0,0,0,1,0,"P49792"
"165",0,0,0,0,0,0,0,0,"A6NK89"
"166",0,0,0,0,0,0,0,0,"O75943"
"167",0,0,0,0,0,0,0,0,"Q9Y5P3"
"168",0,0,0,0,0,0,0,0,"P01111"
"169",0,0,0,0,0,0,0,0,"Q86YS6"
"170",0,0,0,0,0,0,1,0,"Q8IUH3"
"171",0,0,0,0,0,0,0,0,"O75901"
"172",0,0,0,0,0,0,0,0,"Q86YV0"
"173",0,0,0,0,0,0,0,0,"Q6ZTQ3"
"174",0,0,1,0,0,0,0,0,"Q9NXS2"
"175",1,1,0,1,0,0,0,0,"Q96IS3"
"176",0,0,0,0,0,0,1,0,"P52756"
"177",0,0,0,0,0,0,1,0,"P98179"
"178",0,0,1,0,0,0,0,0,"Q96P65"
"179",0,0,0,0,0,0,1,0,"P61578"
"180",0,0,0,1,0,0,0,0,"P46063"
"181",0,0,0,0,0,0,0,0,"Q9H0H5"
"182",0,0,0,0,0,0,0,0,"O76081"
"183",0,0,0,0,0,0,0,0,"Q9H4X1"
"184",0,0,0,0,0,0,0,0,"P57771"
"185",0,0,1,0,0,0,0,0,"Q9NX52"
"186",0,0,1,0,0,0,0,0,"Q02161"
"187",0,0,0,0,0,0,0,0,"Q15382"
"188",0,0,0,0,0,0,0,0,"Q96QB1"
"189",0,0,1,0,0,0,0,0,"Q96CC6"
"190",0,0,0,0,0,0,0,0,"Q9HBH0"
"191",0,0,0,0,0,0,0,0,"P27635"
"192",0,0,0,0,0,0,0,0,"P61587"
"193",0,0,0,0,0,0,1,0,"P62913"
"194",1,1,0,0,0,0,0,0,"Q9UBS8"
"195",0,0,1,0,0,0,0,0,"Q5M7Z0"
"196",0,0,0,0,0,0,0,0,"P50914"
"197",0,0,0,0,0,0,0,0,"Q5VYX0"
"198",0,0,0,0,0,0,0,0,"Q9NRW1"
"199",0,0,0,0,0,0,1,0,"Q6ZRY4"
"200",0,0,0,0,0,0,0,0,"Q7Z3Z2"
"201",0,0,0,0,0,0,1,0,"P61575"
"202",0,0,0,0,0,0,0,1,"O95980"
"203",1,1,0,1,0,0,0,0,"O14593"
"204",1,1,0,1,0,0,0,0,"P48378"
"205",0,0,1,0,0,0,0,0,"A5PLK6"
"206",0,0,1,0,0,0,0,0,"Q6NTF9"
"207",1,1,0,0,0,0,0,0,"Q7Z5H3"
"208",0,0,0,0,0,0,0,0,"Q96D21"
"209",0,0,1,0,0,0,0,0,"P18577"
"210",1,1,0,1,0,0,0,0,"Q9NRY4"
"211",0,0,1,0,0,0,0,0,"Q9NV58"
"212",0,0,0,0,0,0,0,0,"Q495C1"
"213",0,0,0,0,0,0,0,0,"Q63HN8"
"214",0,0,0,0,0,0,0,0,"Q8ND24"
"215",0,0,1,0,0,0,0,0,"Q9Y6U7"
"216",0,0,0,0,0,0,0,0,"Q9NWF9"
"217",0,0,1,0,0,0,0,0,"Q8TC41"
